name,artist,album,URI
Hey Jude - Remastered 2015,The Beatles,1,0aym2LBJBk9DAYuHHutrIl
No Goodbyes,Dua Lipa,Dua Lipa,0mDGNetRxywxqgiXFbagZh
Empire,Shakira,Shakira. (Expanded Edition),0t2cqTppQ4yoEW45LAngxJ
lovely (with Khalid),Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4
You Don't Mess Around With Jim,Jim Croce,Stranger Things (Soundtrack from the Netflix Original Series),1DBwQlPJHqOVqXlckWk1la
The OA - Main Theme,Geek Music,The OA - Main Theme,1IuzzGnF86uDjGKUdGgrbN
Lonely Heart,5 Seconds of Summer,CALM,1MAXdOA4Dtz6eJMz0nEq2H
Falling,Harry Styles,Fine Line,1ZMiCix7XSAbfAJlEZWMCp
Watermelon Sugar,Harry Styles,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo
Hold My Hand,Jess Glynne,I Cry When I Laugh,1eOJAiCKFuMda0fPRvjcuc
Rollin,Jess Glynne,Always in Between,1k5ncSTvu94qVV13mZ4Xcm
Hallucinate,Dua Lipa,Future Nostalgia,1nYeVF5vIBxMxfPoL0SIWg
Bones (feat. OneRepublic),Galantis,Bones (feat. OneRepublic),1pfgsjmxVZhoZpeDx6POKv
Sucker,Jonas Brothers,Happiness Begins,22vgEDb5hykfaTwLuskFGD
Teeth,5 Seconds of Summer,13 Reasons Why,26wLOs3ZuHJa2Ihhx6QIE6
That's My Girl,Fifth Harmony,7/27,2ACOWPLUe4A4KuQ5ioD2od
La Playa,La Oreja de Van Gogh,El Viaje de Copperpot,2DNyZP4Py6f4zMASLBnIu6
School of Rock: The Musical - Medley,Kurt Hugo Schneider,School of Rock: The Musical,2EbNaCt6Md9rt7AKJTht4Q
Another Place,Bastille,Another Place,2Fn4gZI3MAeWTiv7cSVxZQ
I'm Like A Bird - Recorded at Spotify Studios NYC,Alessia Cara,Spotify Singles,2JtSnwYNKOphDrshYL8n4p
Milionària,ROSALÍA,Fucking Money Man,2K3bjojp1sCLdMMoO5lJ2p
"Clear and Simple (feat. Caroline Shaw, Petra Haden & Susanna Hoffs)",Theodore Shapiro,Bombshell (Original Music from the Motion Picture Soundtrack),2M1nMXFSQsmxyNrkZW4Qjx
Who Do You Love,The Chainsmokers,World War Joy,2fVHrSxsQbJUuj9MW9zG1e
Cool,Dua Lipa,Future Nostalgia,2nMOodYNHBAQ3Kc1QNimZU
Physical,Dua Lipa,Future Nostalgia,3AzjcOeAmA57TIOr9zF1ZW
OKAY OKAY,Alessia Cara,This Summer,3JH1alhYiP4TTEsmDiNVrf
Nice To Meet Ya,Niall Horan,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H
Get Right,Jennifer Lopez,Rebirth,3jVSV60WZE5jPE2a6KGNFy
Antes de Morirme (feat. ROSALÍA),C. Tangana,Antes de Morirme (feat. ROSALÍA),4Dl8bEzhAEGbcwkQawS1XG
Pop,La Oreja de Van Gogh,El Viaje de Copperpot,4FXSEdmbbeGmPIQltH27C8
ON (Feat. Sia),BTS,MAP OF THE SOUL : 7,4JWbH50WabthGhmtduR8b9
All I Am,Jess Glynne,Always in Between,4KbXLyluZKq3sTHL8XKsRL
Soul - Japanese Bonus Track,Céline Dion,Soul,4LcatYSnxSNA38JEckEmzW
Soledad,La Oreja de Van Gogh,El Viaje de Copperpot,4NLpfB52hwDPLn7bphgjgD
What's On Your Mind?,Alessia Cara,This Summer,4TwDtw8I224dm9FEs4a0Vo
Not Today,Imagine Dragons,Me Before You,4kDTvLhGF29gFsqceuxBSC
Love Again,Dua Lipa,Future Nostalgia,4rPkN1FMzQyFNP9cLUGIIB
Blue Monday,Sebastian Böhm,Blue Monday,4sApKfQ3QZsWGbEHbXAuTX
Not In The Same Way,5 Seconds of Summer,CALM,4vFQ269uWJUjUKoffU0qUn
What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd
No Regrets (feat. Krewella),KSHMR,No Regrets (feat. Krewella),58hjBuGWj43LQ6WjN3ZQAK
No Shame,5 Seconds of Summer,CALM,5EbidH3lGB30WuDsoR4km6
Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,5R9a4t5t5O0IsznsrKPVro
En el Aire,Vega Almohalla,En el Aire,5Tmjre46yj0r1lBjS9abe9
Mama Look at Me Now,Galantis,Satisfied (feat. MAX) / Mama Look at Me Now,5UaEBgRvUPFf5CEDhaTdp7
Querer Mejor,Juanes,Querer Mejor,5Yp4UtIwEHfHXEowSan061
Run Away With Me,Carly Rae Jepsen,Emotion,5e0vgBWfwToyphURwynSXa
The Chain - 2004 Remaster,Fleetwood Mac,Rumours,5e9TFTbltYBg2xThimr0rU
Bow Down - Homecoming Live,Beyoncé,HOMECOMING: THE LIVE ALBUM,5yZEkyUXbyFCHzrQTH5Ssw
"Touch The Sky - From ""Brave""/Soundtrack",Julie Fowlis,Brave,5yyqx4brn6Bm9U1Rj9ENnz
Pretty Please,Dua Lipa,Future Nostalgia,6DXZiYUbrYgrVIhfX3U9Z2
Cuando los Pies Besan el Piso,Calle 13,MultiViral,6JYygtu5txyWopPHTAE4Lb
Bibia Be Ye Ye,Ed Sheeran,÷,6SznMYPQJHzr3IwsAHLId2
Mucho Más Allá,Carmen Sarahi,Frozen 2,6UWaMec3jc3ESl5hfSaejU
Formation,Beyoncé,Lemonade,6g0Orsxv6glTJCt4cHsRsQ
René,Residente,René,6gm12xlADJwiBbHIKBXzGW
Wildflower,5 Seconds of Summer,CALM,6qlcjGJPTZEwR8nf2nSe9C
Woman Like Me (feat. Nicki Minaj),Little Mix,Woman Like Me (feat. Nicki Minaj),6rrTr2HEAzlpC4KWZxF3S1
Good In Bed,Dua Lipa,Future Nostalgia,6uAFJ75WDAoAPyCWJAtvks
"Gato Que Avanza, Perro Que Ladra",Calle 13,MultiViral,6uV5xO8FBA3bzQTvsULzPc
Future Nostalgia,Dua Lipa,Future Nostalgia,6zrJLhslleCHby0wbUnvVy
Body Talks (feat. Kesha),The Struts,YOUNG&DANGEROUS,71hhuJLNpxBQLSbbQ6ZWr4
October,Alessia Cara,This Summer,736B63TZx939yQZUXl7TMa
Ready,Alessia Cara,This Summer,74nReXHbAko0DLmBniJest
Así de Grandes Son las Ideas,Calle 13,MultiViral,7HGb3j0nP1NnmaF9dsA2cR
La Rubia - Remix 2,La Nueva Escuela,La Rubia,7KKTnv81z6DmfPIGsZWjOW
Singing in the Rain (feat. R. City),Simple Plan,Taking One for the Team,7e2y3akt1MG3d5JXAeR9S2
Cuídate,La Oreja de Van Gogh,El Viaje de Copperpot,7gqIqyeCaV2xNtfZWxEphD
London Bridge,Fergie,The Dutchess,7jRoWfRlLnGYEIEn4t4kbq
Viento y Cielo Alcanzar,Yuridia,Valiente,7xP1PzRNG24qpTWdtin1Gb
Los Idiotas,Calle 13,MultiViral,09JGXbYR8MXjg6byTnltfr
Every Breath You Take,The Police,Stranger Things (Soundtrack from the Netflix Original Series),0SNGe4xksgp7CGnY5kMXOJ
Comfortable,Alessia Cara,The Pains Of Growing,0YBChynpAc8Sji0I067rzT
One Foot,WALK THE MOON,What If Nothing,0iQ77tSa7ncj7zBPtVx6cU
How Can I Forget,MKTO,How Can I Forget,0ibG3XCJ32Qq9maUY4AViR
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,Fifty Shades Of Grey,11JqS3TUvbDQt4W9Lji8Ml
Happy Now,Kygo,Happy Now,14sOS5L36385FJ3OL8hew4
Easier Said,Alessia Cara,The Pains Of Growing,1CThXRPjFSZZuKDjFtUusq
Regrésame Mi Corazón,Carlos Rivera,Guerra,1NTypzYioS7MHVnIR4d7Uy
Dangerous Woman,Ariana Grande,Dangerous Woman,1OhstguCoBQ4SXT8ugSmOl
La vie en rose - Single Version,Louis Armstrong,The Best Of The Decca Years Volume One: The Singer,1UH4viviUjZnS9aWgPGrk0
Bad Dream,Ruelle,Madness,1XO1QUeaqLjEtoA2zcHz9m
Oye 2014 (feat. Pitbull),Santana,Corazón (Deluxe Version),1ikAhgGMnTl9d3iM6u3W3C
Fly With Me,Jonas Brothers,"Lines, Vines and Trying Times",1uCnwV9ABsYkNJmrpQOR1H
Polaroid,Jonas Blue,Polaroid,1wsLHgXJ4SKIfd5ePSX1hD
Magic,Coldplay,Ghost Stories,23khhseCLQqVMCIT1WMAns
In Love With A Camera,The Struts,YOUNG&DANGEROUS,2CEjWJ4lPiodKXXS2bhVyP
I Don't Want To,Alessia Cara,The Pains Of Growing,2DePNQmfS4t6iUETRU72uH
Icky Thump,The White Stripes,Icky Thump,2LMq1O0NiqGhPOlXo3McYQ
Keep Me Crazy,Sheppard,Watching The Sky,2LbJeXxDsWwu3rIz4wdIcK
Nintendo Game,Alessia Cara,The Pains Of Growing,2LwodLGnuRGcqZA14BgeMZ
Be Mean,DNCE,DNCE,2T2tqZzWlZo92Xdxluu887
Old Town Road - Remix,Lil Nas X,7 EP,2YpeDb67231RjR0MgVLzsG
Happier,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99
My Kind,Alessia Cara,The Pains Of Growing,2extUHGb7pATAetKTWP0yH
Want You Back,5 Seconds of Summer,Youngblood,2vHfabj6nFebekTYODqntl
SOS (feat. Aloe Blacc),Avicii,TIM,2x0RZdkZcD8QRI53XT4GI5
Duro y Suave,Leslie Grace,Duro y Suave,31M5m42C3EGlbydf9XB5to
Lights On,Shawn Mendes,Illuminate,348cSuo1eooBe21AzdjAqy
I Don't Care (with Justin Bieber),Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns
Could Have Been Me,The Struts,Everybody Wants,3IyCL4Em1GOpNGDf451Hg1
Alibi,Bradley Cooper,A Star Is Born Soundtrack,3VQN13uMyi3dGpyIyUhG3X
Primadonna Like Me,The Struts,YOUNG&DANGEROUS,3YFaqvSgFBxiJA2xrc70yq
What Makes A Good Man?,The Heavy,The Glorious Dead,3nGWzFBJ5tMzHWAgs16fK6
Rise,Jonas Blue,Rise,3u1S1OmAUhx5DRlLrXqyp3
Vaina Loca,Ozuna,Aura,48zFZh27QU5qsrBjn4C2FA
Black Eyes,Bradley Cooper,A Star Is Born Soundtrack,4HUqrGAZ5f0gHRor7z9BFc
This Feeling,The Chainsmokers,Sick Boy,4NBTZtAt1F13VvlSKe6KTl
Give Love a Try,Jonas Brothers,Disney's Top Ten,4WdMbrmzcc2QFKSTQxlK9q
Con Todos Menos Conmigo,Timbiriche,Timbiriche 7,4d7N2lqEJMbQwVy1LCqhXv
Woke Up Late (feat. Hailee Steinfeld),Drax Project,Drax Project,4oPWkP9zQ5ANBbfdHGOvKF
I'll Be There,Jess Glynne,Always in Between,4r1CoAATVuxag55Ct3Y1aX
Like I Love You,Lost Frequencies,Like I Love You,4sh506lJZac1T4o4NqtIuS
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,No.6 Collaborations Project,4vUmTMuQqjdnvlZmAH61Qk
Youngblood,5 Seconds of Summer,Youngblood,55S2PQgSMYAhgoTCcGCDfw
Thursday,Jess Glynne,Always in Between,57zF9nlPH4rud6f6zuKSQi
Growing Pains (Reprise),Alessia Cara,The Pains Of Growing,5DSEsH11oe6IyStmZ8o0NT
Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,5EWPGh7jbTNO2wakv8LjUI
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p
Partition,Beyoncé,BEYONCÉ [Platinum Edition],5hgnY0mVcVetszbb85qeDg
Tune Maari Entriyaan,Sohail Sen,Gunday,5kg1GacbhgQfLcbgOBRO9c
Ruin My Life,Zara Larsson,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU
What's Up Danger (with Black Caviar),Blackway,Spider-Man: Into the Spider-Verse,5zsHmE2gO3RefVsPyw2e3T
"Feel It (feat. Lloyd, Rich Homie Quan)",Jacquees,19 - EP,60A9cgTlUXxO7c2ucnen1x
Some Nights,fun.,Some Nights,67WTwafOMgegV6ABnBQxcE
All We Know,Alessia Cara,The Pains Of Growing,6Dw696uOB5aKDyLzUJREBr
If I Can't Have You,Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz
Afterlife,Hailee Steinfeld,Afterlife (Dickinson),6PFyGdWw0qnstR8KJAWrrr
Freedom,Pharrell Williams,Freedom,6RB9YvNyP0RZfCUcMtZELH
Sangria Wine,Pharrell Williams,Sangria Wine,6XlSyYFTU1nodeWwwzVgTV
Pasos de cero,Pablo Alborán,Terral,6jfqLf0ZN12naHj7GCv966
Do My Thang,Miley Cyrus,Bangerz (Deluxe Version),6n2GPvMJtFZ4ckoc9EWHMx
7 Days,Alessia Cara,The Pains Of Growing,6qVwzCWDC6Kiatl7v2it7D
Put Your Money On Me,The Struts,Everybody Wants,76AwsOtk3SePQ8h9kB2pmW
Lost In Japan,Shawn Mendes,Shawn Mendes,79esEXlqqmq0GPz0xQSZTV
Zeus,Destripando la Historia,Zeus,7Aw2LJgquEqPGjIUjxGusy
Walk Me Home,P!nk,Walk Me Home,7DHApOHsIFo7EyfieArYGE
"La Vie En Rose - From ""How I Met Your Mother: Season 9""",Cristin Milioti,How I Met Your Music: Deluxe,7FMudQFEInauBuk4OP1yhT
Ready to Run,One Direction,FOUR,7GtGeeChOx4NS77bqK8SUx
Mayores,Becky G,Mayores,7JNh1cfm0eXjqFVOzKLyau
Game of Survival,Ruelle,Madness,7jJTRLLwHQsHtBBYCCmqQR
Kiss and Make Up,Dua Lipa,Dua Lipa,7jr3iPu4O4bTCVwLMbdU2i
Cool,Jonas Brothers,Happiness Begins,7yfi8B8opXjnRh4VZnOkz9
Growing Pains,Alessia Cara,Growing Pains,003eoIwxETJujVWmNFMoZy
Sk8er Boi,Avril Lavigne,Let Go,00Mb3DuaIH1kjrwOku9CGU
I'll Be There,Jess Glynne,I'll Be There,083Qf6hn6sFL6xiOHlZUyn
The Middle,Zedd,The Middle,09IStsImFySgyp0pIQdqAc
Hércules,Destripando la Historia,"Destripando la Historia, Vol. 1",0Y9F0Qh1MFQBmiAGrq7U1N
Stone,Alessia Cara,Know-It-All,0b3qOB5v3kqL1obw0hrfFo
Side Effects,The Chainsmokers,Sick Boy,0bGLvHd0ApdT4t0shCfpzG
Eastside (with Halsey & Khalid),benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao
Drunken Hearts,Wallpaper.,Ricky Reed Is Real,0fFSWYIBVssa1asI2jfqS5
Vivaldi: Winter From The Four Seasons 1. Allegro Non Molto,Silverwood Quartet,To Drive The Cold Winter Away,0hLbjFiF7zmGuZJrpLOJ7F
Desencuentro (feat. Soko),Residente,Residente,0kc4G5tEdtmTB0w3gYmb01
La Mujer Perfecta,KURT,La Mujer Perfecta,0mAGeks6ns4FZWBPkjD9HR
Just My Type,The Vamps,Night & Day,0q2e5jdjxFaaYRf49b1vLj
Digital Love (feat. Hailee Steinfeld),Digital Farm Animals,Digital Love (feat. Hailee Steinfeld),0qwa6Mm9oZWLhGitD2Jfnq
Do Like That,Korede Bello,Do like That,0z0qRN3HNUCOG9y1R7umuD
Freaky Friday (feat. Chris Brown),Lil Dicky,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ
Say Something (feat. Chris Stapleton),Justin Timberlake,Man of the Woods,1LhMopPAallLeaeNutqbgS
Up (feat. Demi Lovato),Olly Murs,Never Been Better,1RidHM9BC4M8DpfSQ6YLJh
Tell Her You Love Her,Echosmith,Talking Dreams,1vZSnCXJtFGaCOfCWyXn0z
8 Vasos Al Día,Casi Creativo,Casi Creativo La Música,20Y1dpJbos1Bc7Nd4KiGpK
Body,Loud Luxury,Body,21RzyxY3EFaxVy6K4RqaU9
Love on Me,Galantis,Love on Me,2MHCiOohBZEQuLgDTPvSzF
Que te vaya bonito,Luis Miguel,¡MÉXICO Por Siempre!,2gxMq6bgexQ0H4kVNdYrP1
Youngblood,5 Seconds of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE
Gorilla,Bruno Mars,Unorthodox Jukebox,2ih2U8ttFzCjnQ5njF3SrR
Wanna Be Startin' Somethin',Michael Jackson,Thriller 25 Super Deluxe Edition,2kulOHR2XY6YDZCWXb38hn
You Can't Hold Me Down,Mogli the Iceburg,You Can't Hold Me Down,2sYGOGehQqfTmof3kWfriB
Un Beso de Desayuno,Calle 13,Residente o Visitante,2uNfmuLRxi7974xmzdE9NL
Serenata huasteca,Luis Miguel,¡MÉXICO Por Siempre!,2y3C3tWoNictZWuOuUtDuO
Next To Me,Imagine Dragons,Evolve,31VOknKjFrEX47bZXzqcoF
Candy Paint,Post Malone,beerbongs & bentleys,32lItqlMi4LBhb4k0BaSaC
Wake Me up When September Ends,Green Day,American Idiot,3479kk78dx3GFt048Udq54
Let Me Love You (Until You Learn To Love Yourself) (Glee Cast Version),Glee Cast,Glee Love Songs,3BP8hJTYC4PoL8TNTBtnbV
Nothing to Regret,Robinson,Nothing to Regret,3C2xQqHVkhA1Ht17SzPRke
Mobile,Avril Lavigne,Let Go,3D3B7vahQasg8rdAYrEbNT
Qué bonita es mi tierra,Luis Miguel,¡MÉXICO Por Siempre!,3Evfk0c7TBJY8TSDORcj24
I'll Supply the Love,TOTO,Toto,3kETGXBpOCSESrSOEf6P84
Body on Me (feat. Chris Brown),Rita Ora,Body on Me (feat. Chris Brown),3qRHCvn70YpVFFkx3lrAYf
Psycho (feat. Ty Dolla $ign),Post Malone,beerbongs & bentleys,3swc6WTsr7rl9DqQKQA55C
Better Man,5 Seconds of Summer,Youngblood,40rMvmTT9RX4KB0JzMNYZO
Heaven In Our Headlights,Hedley,Wild Life,468oGE6AlJILlhe7ZiOpzf
Coming Back For You,Maroon 5,V,4J1moeUmaCFMfHNyCeUpkN
Tie Me Down (with Elley Duhé),Gryffin,Tie Me Down (with Elley Duhé),4QVS8YCpK71R4FsxSMCjhP
I Just Can't,R3HAB,I Just Can't,4Ux0Y0eQYv4HJPvuxioosx
Sober Up (Feat. Rivers Cuomo),AJR,The Click,4WKd0BlNk5TmZ5UZelNfRp
Maps,Maroon 5,V,4gbVRS8gloEluzf0GzDOFc
Happy Now,Zedd,Happy Now,4keoy2fqgwGnbWlm3ZVZFa
No Air (feat. Chris Brown) - Acoustic Version,Jordin Sparks,Pure... Acoustic,4oElMo1UEpdwVqtGFJBh8F
High On Life (feat. Bonn),Martin Garrix,High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy
Satisfied (feat. MAX),Galantis,Satisfied (feat. MAX) / Mama Look at Me Now,57QXXEBy5apjgxsyXSb8YE
We Don't Care,Sigala,We Don't Care,59D6pNWyn8UXPpos5fbAqm
My Heart Is Open,Maroon 5,V,5AnZXEB5IVhU57cJdOtJeX
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x
I Like The Way,Tyron Hapi,I Like The Way,67BEhVyQPe661gMYUyEhLw
I Got U,Duke Dumont,EP1,69gQgkobVW8bWjoCjBYQUd
OTW,Khalid,OTW,6Hgh47WXVKtXN5zGOu0hjI
Supercut,Lorde,Melodrama,6K8VQ84MqhsoakN5MjrnVR
Liability,Lorde,Melodrama,6Kkt27YmFyIFrcX3QXFi2o
Polaroid,Imagine Dragons,Smoke + Mirrors,6OfLMbsJdF8QHvypAHcbVY
Babylon,5 Seconds of Summer,Youngblood,6PUYqQtGWVAovZrLC9BIqt
Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery,6Z8R6UsFuGXGtiIxiD8ISb
No vaya a ser,Pablo Alborán,Prometo,6ZZOdrcqRZzTCwGlsy00SU
The Last Of The Real Ones,Fall Out Boy,MANIA,6e13443Ve7RGcAUScTgYtl
Con te partirò,Andrea Bocelli,Romanza,6gFkE7q5wafBQl9lJIAjaF
Pray For Me,The Weeknd,The Highlights,6huNf4dutXRjJyGn7f5BPS
REMEDY,Alesso,REMEDY,6jreFSOTUAViWjKyzOC4Kg
Faster,Matt Nathanson,Modern Love,6plKFdrBnKF0y3CRuceTDh
El Aguante,Calle 13,MultiViral,7AIVTgrRcdUW8QBsqNQ33z
El Triste - Sinfónico,José José,Sinfónico,7fCpijE5xdqRjvyEv8tx6E
Burning Love,Elvis Presley,Elvis (Fool),7zMUCLm1TN9o9JlLISztxO
Caperucita Roja,Destripando la Historia,Destripando la Historia,7zRQtFIEOprcT5CajvTqA4
