name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_popularity
Nate Growing Up,Labrinth,Euphoria (Original Score from the HBO Series),4iddJAOsc6U0hJ3krSJAKn,0.507,0.441,7,-11.165,1,0.0504,0.0879,0.237,0.0898,0.249,79.016,153890,4,81
Scars To Your Beautiful - Live Off The Floor (Bonus Track),Alessia Cara,This Summer: Live Off The Floor,4iy4hKxFBmr8Liwy4arOUQ,0.399,0.339,9,-11.365,0,0.042,0.86,0.0,0.0872,0.613,175.977,267078,4,81
exile (feat. Bon Iver),Taylor Swift,folklore,4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4,100
One Of A Kind,Juan de Marcos González,Vivo (Original Motion Picture Soundtrack),53eQ6LNW4oByJr5rOMK5wF,0.704,0.62,0,-5.657,1,0.0633,0.638,0.0,0.112,0.62,101.901,250990,4,46
traitor,Olivia Rodrigo,SOUR,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4,92
Magic (In Your Bones),Arielle Estoria,Magic (In Your Bones),5Db01SSNXowfzZgU5J4IVJ,0.543,0.248,0,-20.888,1,0.402,0.882,5.03e-05,0.109,0.192,135.847,366309,4,10
"Symphony No. 9 in D Minor, Op.125 'Choral': Ode to Joy",Ludwig van Beethoven,Essential Beethoven,5G2RyS5wHOHh8JjLg13AnJ,0.19,0.328,2,-14.446,1,0.0413,0.916,0.663,0.0824,0.219,75.803,374093,4,53
momma told me imma be,Tai Verdes,A-O-K,5PwIUzy6iq3PqwhOtorDxM,0.659,0.309,10,-12.892,1,0.252,0.687,0.0,0.0879,0.506,159.461,133747,4,75
Historia de un Sueño,La Oreja de Van Gogh,Lo Que Te Conte Mientras Te Hacias La Dormida,5WYDcW1n3M2AcrAh4pDI4s,0.472,0.494,2,-6.91,1,0.0261,0.417,0.0,0.103,0.427,185.845,224413,3,74
Queen In Me,Jujubee,good juju : vol. 2,5XQvIZdsXk7noUB8msfXhk,0.5,0.495,7,-8.314,0,0.051,0.133,8.13e-06,0.515,0.116,93.946,249749,4,31
Benny's Dispatch,Leslie Grace,In The Heights (Original Motion Picture Soundtrack),5ZTuSZiQfauqYcGt3rVaV2,0.674,0.562,6,-8.501,0,0.216,0.00598,0.0,0.108,0.256,91.908,140888,4,66
Mind Over Matter,Anthony Ramos,The Good & The Bad,5j3JNky4IeCdbZSlHFzV7A,0.852,0.789,9,-5.835,0,0.137,0.082,0.0,0.0606,0.636,118.043,156467,4,72
Middle Ground (feat. CHIKA),Alessia Cara,In The Meantime,5nGpC4ho50ESHj30ocN3sV,0.547,0.495,5,-6.313,1,0.361,0.347,0.0,0.116,0.796,148.377,223034,4,81
1-800-273-8255,Logic,Everybody,5tz69p7tJuGPeMGwNTxYuV,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023,250173,4,82
drivers license,Olivia Rodrigo,SOUR,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013,4,92
Shapeshifter,Alessia Cara,In The Meantime,60O0pUJdobzFB11e88Y9m1,0.723,0.577,7,-7.739,1,0.0727,0.292,0.000656,0.17,0.612,95.066,186954,4,81
Out Loud,HRVY,Four Weddings And A Funeral,60osniAFR9op7mvLOGLluc,0.776,0.555,3,-9.792,1,0.269,0.0711,0.0,0.074,0.703,129.974,177120,4,70
Too Young To Grow Old,Lxandra,Another Lesson Learned EP,69iEaUoWMcAD0ylH4xOCZC,0.443,0.344,4,-8.818,0,0.0685,0.671,0.0,0.0825,0.112,153.5,194480,4,44
Me Vieron Cruzar,Calle 13,MultiViral,6CLdnyg83r7ZRjLhiSykyK,0.537,0.703,2,-7.392,1,0.0429,0.14,2.08e-05,0.0709,0.499,91.993,232667,4,73
Formula,Labrinth,Euphoria (Original Score from the HBO Series),6EtKlIQmGPB9SX8UjDJG5s,0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,91870,4,81
deja vu,Olivia Rodrigo,SOUR,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4,92
Still Don't Know My Name,Labrinth,Euphoria (Original Score from the HBO Series),6N22FZs2ZhPBYi3b9XPajV,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,153294,1,81
Romeo,Bryce Xavier,Romeo,6OXpmcHpzujlB1xrrPCqdc,0.566,0.238,3,-13.663,1,0.0563,0.8,0.0,0.0787,0.54,122.263,183750,5,47
brutal,Olivia Rodrigo,SOUR,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,4,92
Nobody’s Keeping Score,Cyn,Mood Swing,6W8GLmGFgO11Jb2sPshXN4,0.531,0.462,0,-6.879,1,0.038,0.615,0.0,0.231,0.251,102.07,200709,4,52
Fake ID (feat. Gretchen Wilson),Big & Rich,Greatest Hits,6ZKfUOJCGvkogfjcc4Kkvc,0.663,0.956,0,-2.322,1,0.0395,0.0614,0.0,0.233,0.73,129.983,203280,4,61
How Far I'll Go,Auli'i Cravalho,Moana,6mb6lVLNrcUgLnEN8QnDJd,0.571,0.307,1,-10.958,0,0.0499,0.649,0.0,0.178,0.108,83.72,163387,4,67
Forever,Labrinth,Euphoria (Original Score from the HBO Series),6potEImiklXkwD9qFzpu15,0.563,0.459,4,-7.781,0,0.0292,0.92,0.724,0.11,0.197,79.983,202536,4,81
Pilot with a Fear of Heights,Felicity,Pilot with a Fear of Heights,72XFWgmIuW2i5uKUbhpQWt,0.54,0.648,5,-6.631,1,0.0651,0.176,2.39e-06,0.0808,0.341,156.034,199024,4,28
Take Me There,Delta Rae,The Light,7786b8JD4nmbQHSKvAMwqQ,0.632,0.91,5,-3.847,1,0.0491,0.00978,0.0,0.136,0.501,114.416,216794,4,49
Carnaval Del Barrio,Daphne Rubin-Vega,In The Heights (Original Motion Picture Soundtrack),7D0Ntx3LMFMPNtSViJLS4D,0.546,0.563,7,-7.891,1,0.101,0.0968,0.0,0.0352,0.7,113.215,420171,4,59
Wait for It,Leslie Odom Jr.,Hamilton,7EqpEBPOohgk7NnKvBGFWo,0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,193750,4,76
Box In The Ocean,Alessia Cara,In The Meantime,7bhR82JEE9bcX8iphymGme,0.604,0.592,5,-7.263,0,0.0944,0.312,0.000424,0.269,0.583,89.75,196697,4,81
Trust My Lonely,Alessia Cara,The Pains Of Growing,7eXT7U3FKrOM88xr1DsNwc,0.613,0.668,0,-6.134,1,0.162,0.00421,2.06e-06,0.324,0.622,150.171,199747,4,81
When A Girl,CARYS,To Anyone Like Me,7jpcFYI4AEimC0kkFwMiJX,0.731,0.447,7,-5.982,0,0.0501,0.567,0.0,0.0797,0.665,180.016,212578,3,58
thank you anxiety,Avenue Beat,thank you anxiety,7kyVPWXR3v2q1AOkGpS3ZD,0.588,0.705,7,-4.021,1,0.0788,0.719,0.0,0.205,0.629,160.011,168493,4,53
Rooting For You - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,7lqXJF0MwuVpCFJlVS0rFX,0.645,0.316,6,-10.719,1,0.141,0.421,0.0,0.072,0.526,155.991,170278,4,81
In The Heights,Anthony Ramos,In The Heights (Original Motion Picture Soundtrack),7oMr1IBlYwnb1jZh6of8kN,0.575,0.535,7,-7.452,1,0.331,0.121,0.0,0.122,0.713,167.834,461638,4,72
Non-Stop,Leslie Odom Jr.,Hamilton,7qfoq1JFKBUEIvhqOHzuqX,0.77,0.482,6,-9.529,1,0.351,0.211,0.0,0.223,0.441,91.994,385438,4,76
Solar Power,Lorde,Solar Power,7s2kWabRM60W9I61HpKg8C,0.73,0.483,4,-8.565,1,0.0879,0.237,7.99e-05,0.31,0.883,87.996,192621,4,81
Sleep When I'm Dead,These Girls These Boys,Sleep When I'm Dead,7wk5iPF7Fi0pG1QuObKVv5,0.838,0.39,4,-7.132,1,0.0999,0.115,8.36e-06,0.0742,0.405,109.973,213653,4,19
Something Big,Shawn Mendes,Handwritten,060xmC5Tr7AVfT1ew9OHSB,0.695,0.854,7,-3.891,0,0.0431,0.00614,0.0,0.158,0.804,112.008,161440,4,89
Sin Contrato (feat. Fifth Harmony),Maluma,Sin Contrato (feat. Fifth Harmony),09S64DUkxIX9EwIaULu6yN,0.782,0.791,11,-6.038,0,0.102,0.144,0.0,0.169,0.896,96.022,181269,4,90
Shoot to Thrill,AC/DC,Back In Black,0C80GCp0mMuBzLf3EAXqxv,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,317427,4,85
A Sky Full of Stars,Coldplay,Ghost Stories,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,4,92
Born To Be Wild,Krokus,Hoodoo,0H8iyBZDnWYgwVNAOcLiah,0.576,0.936,2,-2.911,1,0.0425,0.000508,0.126,0.0961,0.609,136.972,214000,4,49
History,One Direction,Made In The A.M.,0HMjXBAZmSYOTTi33WpMso,0.655,0.699,11,-4.421,1,0.0493,0.0352,0.0,0.064,0.802,86.704,187427,4,88
